,Tweets
15063,.@SenTedCruz actually thinks that the Paris Climate Agreement is there to benefit the people of Paris. 🙄 https://t.co/h8ReENbKsJ
15064,"Okay, I'm sorry. This is the 3rd retweet of the same tweet. I just can't get over the fact that this dumb*** wants his followers to believe that the Paris Climate Agreement was signed for the benefit of Parisians in particular. WTF. Senator, what kind of stuff are you snorting? https://t.co/QDqMIl4WlT"
15065,"As stewards of #creation , it is up to man to take care of it; not to exhaust and destroy. The unbridled thirst for #PROFIT  is one of the root causes of us human beings depleting the earth. #ParisClimateAgreement #greenhouse #Biden https://t.co/YfsgkJpd7k"
15066,A person who clearly has no idea what the Paris Climate Agreement is https://t.co/qlNYmu2XUD
15067,"@UN This is very commendable! The Paris Agreement #ParisClimateAgreement will change a lots of things about climate change for the people, for prosperity and for the planet...."
15068,"Citizens of Paris?

You know the Paris Climate Agreement was negotiated &amp; signed by the leaders of almost every nation on Earth, not just by some people from Paris, &amp; that its name comes from where they happened to sign it, right, @SenTedCruz?

I need to know that YOU know that!! https://t.co/txSGpMHUkf"
15069,"@POTUS recommitted the U S to the #Parisclimateagreement, and ordered federal agencies to start reviewing and reinstating more than 100 environmental regulations that were weakened or rolled back by #Trump. #GlobalWarming #ClimateAction #sdgs 
 https://t.co/EkFM8odaVC"
15070,@SenTedCruz Oh my. Do you know what the Paris Climate Agreement is?
15071,DISASTER MEASURE OF THE fraudulent usurper biden !!!  Return to USA to Paris climate agreement!  Impose restrictions on North American industry that mean higher costs for companies and bankruptcies and unemployment!  GOB DISASTER !!!  AND IT TAKES LESS THAN A DAY !!!
15072,not ted cruz thinking the paris climate agreement only affects paris https://t.co/tq5eY8iWLF
15073,@SenTedCruz Do you even understand the Paris Climate Agreement?
15074,By rejoining the Paris Climate Agreement President Biden indicates that Ted Cruz is an idiot #TedCruz #PresidentBiden  #ParisAgreement #noidea #ParisClimateAgreement https://t.co/qSxpLp7AKL
15075,"""By rejoining the Paris Climate Agreement, President Biden indicates he’s more interested in the views of the citizens of Paris"" O_o

I'd laugh if it weren't done on purpose. But it is, clearly... https://t.co/vHpVaxBNaZ"
15076,"I am amazed to know that such a narrow-minded man can be a public servant in US.
""By rejoining the Paris Climate Agreement, President Biden indicates he's as much interested in the views of the citizens of the world as in the jobs of the citizens of Pittsburgh"". https://t.co/2Eo3kByvdw"
15077,"He... He doesn't actually know what the paris climate agreement is about, I'm crying https://t.co/oZqVN6I8vt"
15078,"This dumbass really thinks the Paris Climate Agreement is about citizens of Paris? 

Holy shit😅😅😅 https://t.co/UbRNDeEgX7"
15079,"@SenTedCruz Literally just google what the Paris Climate Agreement is, Ted. You will see how idiotic of a tweet this is."
15080,Senator who encouraged insurrection thinks #ParisClimateAgreement is about Parisians. https://t.co/wRXxurXydU
15081,@JuliaCarmel__ @SenseOf_OUTRAGE Imagine thinking the Paris Climate Agreement is about actually acting on the science and trying to save life on the planet.
15082,"@SenTedCruz 1. The Paris Climate Agreement wasn’t something the people of Paris came up with.

2. There’s a Paris, Texas. You’re the senator from Texas, and you can’t even hit the tee-ball swing of “Blah blah blah, he cares more about Paris, France than Paris, Texas.”"
15083,"World leaders have pledged to work with President Biden on issues including the COVID-19 pandemic and climate change, with many praising his move to begin the formal process for the U.S. to rejoin the Paris Climate Agreement 
https://t.co/eYaNTvgu2i"
15084,So you're saying you don't actually know what the Paris Climate Agreement is? https://t.co/EqX7RlJZxu
15085,"@SenTedCruz It almost makes Trump look smart thinking the Paris Climate Agreement is to benefit Paris. It's a multinational agreement aiming to combat climate change, by people who believe in science. It just so happened to have originally been signed in Paris."
15086,It’s like waking up on Christmas! #ParisClimateAgreement #tacklingthecrisisofracialenequity #masksarepatriotic 🎁 🎁 🎁
15087,I’m sorry...but does this man even know what the Paris Climate Agreement is? How is he a senator? https://t.co/m9ObajPW4Y
15088,"@SenTedCruz Texas your man is embarrassing you guy's again. How long will you take it. They call it the Paris Climate Agreement, because it was signed there. Citizens of Texas you are not being represented, but being laughed at."
15089,"This man thinks the Paris Climate Agreement is about Paris, France...WE COULD HAVE HAD @BetoORourke https://t.co/HBf9YLzCtS"
15090,"President @JoeBiden recommitted the U.S. to the Paris climate agreement and ordered federal agencies to start reviewing and reinstating more than 100 environmental regulations that were weakened or rolled back by former President Donald Trump.
#46thpresident
#ParisAgreement https://t.co/qdrfLBtIbV"
15091,This is what happens to your mind on insurrection kids. Cruz doesn't know it's called the Paris Climate Agreement because it was signed there. nothing to do with Parisians. And he's forgotten he was trying to disinfranchise voters in Pittsburgh by setting aside their votes. https://t.co/Z6YTaoyZtN
15092,"Racial Equity was just 60 years ago. Now-a-days? Nothing more than a gesture that a white supremacist might push.

The Paris Climate Agreement is a literal waste of money.

Economic crisis happened because of lockdowns. High cost of living with no income creates problems. https://t.co/YjveTk7qRJ"
15093,"It fills me with hope to see the wide-ranging and numerous executive orders that have been signed within hours of Joe Biden’s inauguration, including rejoining the Paris climate agreement. https://t.co/AGuX3oKG2Y"
15094,@SenTedCruz 🤔🤔🤔 umm it’s only called the #ParisClimateAgreement ......because it took place in #Paris how tf does a sitting #UnitedStatesSenator not know this.... ohhh wait your @SenTedCruz 🤣🤣🤣🤣 #Delusional
15095,"Ted Cruz does not know why the Paris Climate Agreement has ""Paris"" in its name. This man is working for the United States Government, yet does not know that treaties and agreements are often named after the city in which they were signed. https://t.co/buEZml3LH4"
15096,President Biden rejoins the Paris Climate Agreement  https://t.co/XcyC0NIIiK
15097,@SenTedCruz Why's the Paris Climate Agreement called the Paris Climate Agreement? https://t.co/rBZahDf3oq
15098,"@SenTedCruz The lies and B.S. just never stop with you. The Paris Climate Agreement was SIGNED IN PARIS by the world leaders who drafted it, including the U.S. POTUS. It wasn't written by ""the citizens of Paris"". #Dumbass"
15099,"America, really  is this the brightest of the brightest. How much are these Senators paid? Parisians will benefit, lol. Paris Climate Agreement was  signed in Paris! https://t.co/vRIVQBjkiX"
15100,Als je slaapt gebeuren aan de andere kant van de oceaan de mooiste dingen. #ParisClimateAgreement #Biden https://t.co/FDMQBQQ9X2
15101,"@SenTedCruz Plonker, the Paris Climate Agreement has nothing to do with the people of Paris. It was signed there, its about the world left for our children and grandchildren. But hey, keep wanting to burn fossil fuels because the people of one state in one country listen to you!"
15102,"@SenTedCruz You’re not only a bad person, you’re also unintelligent, according to that tweet.  Maybe you need to get better informed on the Paris Climate Agreement.  Although, maybe you’re actually clever, and playing on the emotions of your unintelligent followers?"
15103,"@SenTedCruz BACKGROUND 

“In December 2020, Sen. Cruz urged the Trump administration to submit both the Iran Nuclear Deal and Paris Climate Agreement to the Senate as formal treaties.”

ANALYSIS

Trump is easily fooled, but he didn’t agree with you, neither did Biden, nor does we the people."
15104,"@SenTedCruz You do know that it's not just the folk in Paris who signed the Paris Climate Agreement? You know that, right? 🤣🤣How have you managed to live this long? You seem like a knife in the toaster kinda guy!🤣"
15105,"America is back in the Paris Climate Agreement. 👏🏻
Thank you @POTUS @JoeBiden @VP @WhiteHouse 
#America #ParisClimateAgreement #ClimateCrisis https://t.co/bmyAnlJ9yx"
15106,@AOC Lolllllll imagine being so blindly stupid that you think the Paris climate agreement is about PARIS 🤣😂🤣😂
15107,"@SenTedCruz Dear Mr Cruz,
You think the Paris Climate Agreement was written by the citizens of Paris????
🤪. Good grief, man."
15108,"This makes me wonder about this senator's understanding of history, his ability to read and understand the Paris Climate Agreement and how history is taught in the state of Texas. https://t.co/bHlCnaLblJ"
15109,No sooner said than done. @POTUS as first act of his presidency signed an executive order to join #ParisClimateAgreement https://t.co/usV4bv212i
15110,"A Senator doesn’t know the Paris Climate Agreement is called that because that’s where it was signed. It has nothing to do with the citizens of Paris. 
Dummies lying to dummies. https://t.co/m7dlvFtDBw"
15111,President Biden returns the US to the Paris climate agreement  https://t.co/9Lhy1aMukb
15112,"@SenTedCruz Ted you do know the Paris Climate Agreement isn’t specifically about Paris, don’t you. You can’t be that stupid. You can’t."
15113,"OMG, this idiot actually believes the Paris Climate Agreement is about the views of Parisiennes. 

How wrong can one man be about EVERYTHING? https://t.co/4Adt72xkDc"
15114,"@SenTedCruz You don't know what the Paris Climate Agreement is, do you?"
15115,"@SenTedCruz Oh my god, you don't even know what the Paris Climate Agreement is? That's the funniest thing I've seen today."
15116,"@SenTedCruz Ted, I'm a bass-playing retired telecom engineer from Scotland, and even I know that the Paris Climate Agreement isn't just about the 'citizens of Paris'. There's this thing called  the internet, where you can find out stuff ..."
15117,Biden Rejoins #ParisClimateAgreement  https://t.co/5MArkvvAe2
15118,"@SenTedCruz By buying french fries, President Biden indixates he's more interested in the views on economic growth of the citizens of France. @tedcruz translated. #ParisClimateAgreement Senator with laughable logic."
15119,"@SenTedCruz He thinks the Paris Climate Agreement is about the view of the citizens of Paris.
The CITIZENS OF PARIS!

HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAAAAAAAHAHAHAHAHAHAHAAAAAA!

Why are Trump followers THIS stupid. US education is a shitshow. https://t.co/4NbVsaw27x"
15120,President Biden returns the US to the Paris climate agreement  https://t.co/u59QJ2exVF
15121,"@SenTedCruz The Paris Climate Agreement is an international treaty (agreement) concerning climate change, which was signed outside of Paris.
Paris.
Climate.
Agreement.
It's right in the name. Why is this so hard for you to understand?"
15122,"Imagine thinking that the Paris Climate Agreement is about protecting the citizens of Paris. 

Texas seems like a fine enough state, but you people gotta take a long, deep look at yourself if you elect people like this. https://t.co/yVdgsH6kn2"
15123,"Joe Biden marks start of presidency with flurry of executive orders. These include rejoining the Paris climate agreement, including undocumented immigrants in census data, revoking the permit for the Keystone XL pipeline &amp; safeguarding the environment @srl https://t.co/V0GvLf6NMq"
15124,How thick have you got to be to think that the Paris Climate agreement is for the citizens of Paris? It’s for the citizens of the world. It’s the name of where the agreement was signed you Cock Womble! @SenTedCruz https://t.co/jLWLRQMfZ0
15125,@SenTedCruz You do realise that the Paris Climate Agreement is not just about Paris’ climate?
15126,"BRUH IT'S CALLED THE PARIS CLIMATE AGREEMENT BECAUSE IT'S SIGNED IN PARIS IT HAS LITERALLY NOTHING TO DO WITH THE CITIZENS OF PARIS

How the hell are people this stupid allowed to be US Senators???

I hate it here. https://t.co/yTPl3Brun6"
15127,I have also joined the Paris climate agreement https://t.co/rTAR5dttyY
15128,@SenTedCruz Has someone described why it’s named “Paris” yet? #TedCruzIsTheTypeOfGuyWho knee jerks all over the place. #ParisClimateAgreement #ParisAccord #TedCruzIsTheTypeOfGuyWho doesn’t stop to read about things.
15129,"I usually keep politics off my timeline but this....just this! @SenTedCruz does realise that it’s called the Paris Climate Agreement because it was signed in Paris not because it’s about saving Paris?! 😂 
189 countries are part of it Ted, 189! Lucky Paris 😂🙈 https://t.co/j9wUdNtzT3"
15130,"Finally, a Boris Johnson tweet I can agree with!  Truly a historic day! #ParisClimateAgreement https://t.co/9OSqpRzUP3"
15131,"@JoeBidens actions as the new president.
1.Rejoining Paris Climate Agreement.
2.Establishing talks to rejoin WHO.
3.Using masks in federal properties.
4.Reversing Trump administration's ban on Majority-Muslim Nations.
Hectic first day it seems!"
15132,"The Zodiac Killer knows that the Paris Climate Agreement has nothing to do with Paris and is named that because it’s where meetings on the agreement were held, but is more than happy to act ignorant to take advantage of his followers who he believes do not know that. https://t.co/3UmyJ9lblN"
15133,Yo that's embarrassing. Is that what you think the Paris Climate Agreement is?!? https://t.co/KpQPgr6jQJ
15134,#America #USA is becoming useful again... #JoeBiden #KamalaHarris #ParisClimateAgreement #ClimateActionNow #SDGs #Peace #Multilateralism
15135,"@SenTedCruz Hey, Senator Sedition, I thought you were one of those ivy-league educated fellas. I went to a State University &amp; even I know the Paris Climate Agreement has nothing to do with the “citizens of Paris.” Also you should be expelled for inciting an insurrection &amp; attempting a coup."
15136,"...... this idiot DOES know the Paris Climate Agreement does NOT mean it’s only meant for people living in Paris but for a global, worldwide force? HE DOES, RIGHT? https://t.co/uF3VbmqqbR"
15137,"@SenTedCruz Ted, maybe go and read what the Paris Climate Agreement is hey?"
15138,"@SenTedCruz Oh, this Paris/Pittsburgh BS again... Don't you remember that the mayor of Pittsburgh was a supporter of the Paris Climate Agreement? And how do you feel about the Geneva Conventions, the Nuremburg Trials, and the Treaty of Versailles? Can I hear it for the Treaty of Ghent?!"
15139,@MPenn @Lloyd_Cole And somehow thinks the Paris climate agreement has something to do with French people.
15140,"1. Resign 
2. The Paris Climate Agreement doesn’t help Paris. It helps THE WORLD! Get over yourself https://t.co/mcEt3YdVDq"
15141,@AishlingNYC @Spartacousin @VisnjasB @hunterschwarz @jenleeren THIS. If you “get the world news in Australia too” and you know we re-entered the Paris Climate Agreement then wtf are you complaining about a snall puff piece article??
15142,"#ParisClimateAgreement ✅
#WHO ✅
#UNHRC❓
#UNRWA❓
#TPP❓
#IranDeal❓

#BidenHarrisInauguration #DayOne"
15143,"OMG @SenTedCruz is a moroon! He said Biden is rejoining the Paris Climate Agreement because Biden is more interested in the views of Parisians than in jobs for US citizens. Cruz is not only a seditious traitor, he’s an ignorant fool who’s used to speaking to dumb people. https://t.co/D1AwNrMRY0"
15144,I can’t figure out if Cruz is such a moron he doesn’t actually know that the Paris climate agreement is a multinational effort to avoid catastrophic climate change or if he’s just trying to take advantage b/c he honestly thinks his constituents are too ignorant to know. 🤦🏻‍♀️ https://t.co/RHKNlgC5rJ
15145,"LOL, Ted thinks the Paris Climate Agreement is for parisians only. C'est magnifique! https://t.co/Oyw4mulbdH"
15146,a senator in this country thinks Paris climate agreement is about the views of the citizens of Paris 🤦‍♂️ first it was funny now it’s just sad https://t.co/nsDKx5ZusW
15147,"@POTUS You have achieved more within few hours than the previous appointee in four years.
Chapeau Mr.President! 🎉♥️
#MaskUp #ParisClimateAgreement #BidenHarris"
15148,"""President Biden returns the US to the Paris climate agreement""  https://t.co/EIxfUPjUKb"
15149,@SenTedCruz “The citizens of Paris”? What do you the Paris Climate Agreement is exactly? Because you’re definitely wrong.
15150,does ted cruz not know what the paris climate agreement is https://t.co/rrRHjdTZXl
15151,"@SenTedCruz Lol. Are you seriously saying you think this agreement is about the city of Paris?? Lol. Omg this is TOO good y’all! Here, let me assist you. https://t.co/PK5ANYZy6I.  You’re welcome! Hahahaha #ParisClimateAgreement #BidenHarris #NewDayInAmerica"
15152,"Really? I mean really??

Paris Climate Agreement for Citizens of Paris!! 

We are all citizens of Paris. https://t.co/QJTVU32KNH"
15153,@SenTedCruz OMG you think that Paris Climate Agreement is about the views of Parisians? You complete tool. It's about making sure we don't wreck the planet so your donors can line their pockets
15154,Do you actually believe that the Paris Climate agreement is about the Climate in Paris?! https://t.co/ZSv5dSyedZ
15155,"@SenTedCruz For awhile I thought you were smart and just a POS playing the game, but now I’m convinced you’re as dumb as a rock. Why don’t you read the Paris Climate Agreement Teddy, Ik that must be hard for you but you’ll realize it has to do with a lot more than Parisians."
15156,"Il ritorno degli Stati Uniti negli accordi di Parigi sul clima è la notizia dell'anno, anzi del decennio. #ParisClimateAgreement #BidenHarrisInauguration"
15157,This is the same one that didn’t give a damn about Pittsburgh let alone knows anything about what the Paris Climate Agreement is. We gotta stop electing idiots into the government. This mans a senator and he doesn’t know what the fuck he’s talking about. Problem right here. https://t.co/U3UQaooFhk
15158,"Dear @SenTedCruz it’s the PARIS Climate Agreement because it was SIGNED originally in PARIS.

It has nothing specific to do with France. 

Maybe you should #ResignTedCruz so someone who reads the legislation can represent Texas?
#ParisAgreement #RESIGN https://t.co/cOalqv6dcs"
15159,"The Paris Climate Agreement is about citizens of Paris, just as much as the Treaty of Paris of 1783. Look it up, you will love it @SenTedCruz.

Okay, I'll summarize it: It was the Treaty of Paris of 1783 that established the United States of America and ended British rule there. https://t.co/QDqMIl4WlT"
15160,"US rejoins Paris Climate Agreement and #nickel hits $18.5k overnight.
EV and battery storage incentives will be in the Biden Green Deal to come.
Its the right time for #hzm. 
Right time to press on, complete the financing package and get Araguaia built.
 https://t.co/v1OpQbXivx"
15161,Maybe we should change Paris Climate Agreement into Texas Climate Agreement in order to win over Ted Cruz. https://t.co/OiToXtepsc
15162,"@SenTedCruz Well, there is a Paris in Texas as well Ted. 
But the Paris Climate Agreement is not really about the climate in Paris, it just happened to be signed there. 

Guess you’ve heard about our blue planet Earth. That’s what it is about. Including Pittsburg. ☺️"
15163,bro. this man thinks the paris climate agreement is.... about paris? am i reading this right?? https://t.co/qCETnCeDk4
15164,"Baby steps...The climate battle was already lost in the early-2000's. This is damage control, but it's better than nothing. #ClimateCrisis #ParisClimateAgreement 

https://t.co/rw7Kg4GiKr"
15165,"Biden ആദ്യം തന്നെ Trump നെ തിരുത്തി; റദ്ദാക്കിയത് 15 ഉത്തരവുകൾ
#Biden #donaldtrump #ExecutiveOrders #ParisAccord #ParisClimateAgreement 
https://t.co/uBv8fWXFN1"
15166,"President Joe Biden committed to rejoining the Paris Climate Agreement on his first day in office, but what is it for and who else is signed up? 

https://t.co/416piSxiC2"
15167,Do you know what the Paris climate agreement is https://t.co/jwm9hZv9TN
15168,@SenTedCruz Do... do you even know what the Paris Climate Agreement is?
15169,@SenTedCruz Your ignorance is astounding. It’s called the Paris Climate Agreement because that’s were it was signed.
15170,"The Zodiac killer thinks the Paris Climate Agreement is about French people. 

You can't make this shit up. https://t.co/FJK1rL7a1g"
15171,Instead of saying that why dont you explain to Ted and THE HUGE FUCKING AUDIENCE YOU HAVE the simple fact that the Paris Climate Agreement has nothing to do with the views of the citizens of paris? Or literally anything else that is productive and not just mindless hate? Tard https://t.co/DnagJRdQ3X
15172,"@SenTedCruz The Zodiac killer thinks the Paris Climate Agreement is about French people. 

You can't make this shit up."
15173,"@mattxiv ""ted cruz thinks the paris climate agreement is about the city of paris"" https://t.co/dRiM9ZiAXD

The good citizens of Paris, Ohio will be thrilled"
15174,"“More interested in the views of citizens of Paris” has to be the single dumbest take on the Paris Climate Agreement yet, surely? https://t.co/taukbWIlmR"
15175,"@SenTedCruz @Parisjecoute 

The reason it is called the “Paris Climate Agreement”, is because it took place in Paris, France....."
15176,Ein guter Tag beginnt mit so einer tollen Nachricht 💚 USA treten wieder #PariserKlimaabkommen bei 🥳 Comeback #Klimaschutz ✊💚 #ParisClimateAgreement #BidenHarris #Biden https://t.co/gpjhfD4sQB
15177,"@SenTedCruz Yeah, sure... Paris Climate Agreement is only about Paris..."
15178,@SenTedCruz Because the Paris Climate Agreement is just about the climate in Paris?
15179,"@SenTedCruz Views of who now?   For real? 
Wow. When you need to explain to a ""US Senator"" who the Paris climate agreement is for."
15180,Republican Senators call for US Senate review of Paris climate agreement https://t.co/wuujHnmBsR
15181,"@SenTedCruz If I were a member of your family or staff, I'd point out that you are misunderstanding the term ""Paris Climate Agreement"". 
It has nothing to do with caring more for the people of Paris. The deal was made in Paris. I'm not your fam/staff so I'll let you just look like a twunt."
15182,"And this class is what we call ""willful ignorance"" or ""straight-up lying"". Cruz, the internet exists you can look up what the Paris Climate Agreement is about. And newsflash: it's not just for the benefit of Paris. https://t.co/xN8gbm0fn7"
15183,What a 🔔 🔚#TedCruz is. #ParisClimateAgreement #BidenHarrisInauguration https://t.co/Ie91ST8SRM
15184,"GETS IT WRONG #TedCruzIsTheTypeOfGuyWho  ""There’s almost 200 countries in the Paris Climate agreement &amp; Ted Cruz thinks it’s about the citizens of Paris."" PS: Pittsburgh is a Paris Climate player in spite of Trump &amp; MAGAts #ParisClimateAgreement https://t.co/0jzCV7v5ZW"
15185,Who want to explain to him what the Paris Climate Agreement is? https://t.co/QSCrBa5LSp
15186,"@SenTedCruz You do know that the Paris in the Paris Climate Agreement is to do with where the meeting occurred, rather than the Agreement being determined by Parisians?  Are you that dumb or simply being needlessly antagonistic?"
15187,"US returns to Paris climate agreement, that's great"
15188,"@SenTedCruz Are you serious man? Do you not understand why it’s called the Paris Climate Agreement? The climate accords could have been negotiated and signed in Timbuktu and thus be called the Timbuktu Agreements.. Ted, please don’t tell anyone you were born in Canada.."
15189,"Hundreds of countries signed the #ParisClimateAgreement but to be honest, which countries are actually following it?"
15190,President Biden returns the US to the Paris climate agreement  https://t.co/zeuPYVIK1o
15191,So Ted Cruz thinks the Paris Climate Agreement is about the citizens of Paris?  Lol. https://t.co/0fgV1ig6hw
15192,@SenTedCruz “Views of the citizens of Paris”? 😂🤣😂 Do you even know what the Paris Climate Agreement is? Or that cleantech is creating and will continue to create more jobs than fossil fuels? Your fallacies are hurting people. Stop spreading them just to be a foil.
15193,"Il senatore Cruz pensa che l'accordo internazionale di Parigi sul clima parli dei problemi di Parigi. È laureato ad Harvard.
Insomma, non ce l'abbiamo solo noi i Ciampolillo vari. @FerdinandoC mal comune, mezzo gaudio?

Paris Climate Agreement, #Parigi #Cruz #21gennaio #Trump https://t.co/chjQl8agD8"
15194,"With the 46th US President Joe Biden coming to power, on the first day, many major decisions of the previous government were overturned. He has announced a return to the Paris Climate Agreement. @ClimateReality #USA #JoeBiden #ParisClimateAgreement https://t.co/kZbfUJUrXV"
15195,"What does Ted Cruz think the paris climate agreement is? 
That america is just garbage men for paris? https://t.co/uieaHdweT8"
15196,"@GeorgeTakei Wow. When you need to explain to a ""US Senator"" what the Paris climate agreement actually is."
15197,@mattmfm It's embarrassing that he doesn't know what the Paris Climate Agreement is.🤦
15198,"#ClimateChange: Biden's first act sets tone for ambitious approach. ""...returning to the Paris climate agreement is not mere symbolism - it is an act cloaked in powerful, political significance."" https://t.co/RU02THOwhL"
15199,"@CromwellStuff Dems said had to stop trump getting 4 more yrs

Cnn said only way get trump out was damage economy 
=Covid 
Dems want to push on with paris climate agreement &amp;  Investing billions &amp; trump pulled the plug. 100% rigged election get to federal cash machine fund solar &amp; battery tech"
15200,@SenTedCruz Do you think the Paris Climate Agreement was drawn up by Parisians?
15201,"Hey Ted, what if I told you the Paris Climate Agreement was about literally the entire planet and not just the citizens of Paris? https://t.co/FZmsDFsN3A"
15202,"People of Texas, you elected this window licking moron? Really? #texas #CruzResign #ParisClimateAgreement #Biden https://t.co/5s8v8pSa6g"
15203,U.S. President Joe Biden signed an executive order rejoining the #ParisClimateAgreement and halted American withdrawal from the World Health Organization on Wednesday. Former President Donald Trump withdrew from the Accord in 2017 and said U.S. would leave the #WHO last June. https://t.co/MhDXtO612W
15204,Ein guter Start in den Tag! Mögen weitere Schritte in die richtige Richtung folgen. 🌎🌍🌦 #Klimaabkommen #ParisClimateAgreement https://t.co/n233okH0NZ
15205,"@SenTedCruz Haha, you haven’t even read a brief summary on what the Paris Climate Agreement is, have you? 🤣 I’ll give you this one for free... It’s got nothing to do with Parisians!"
15206,"Really? You know really nothing about the Paris Climate Agreement. It's actually not about the citizens of Paris. Please, read the fuck the paper first! https://t.co/EELySVZlzs"
15207,Because we all know the Paris Climate Agreement is only for the benefit of Parisians #IgnorantMoron https://t.co/A7Qo66xtu4
15208,@zippydeday @astralagent @BorisJohnson @JoeBiden @COP26 That was Nato not Paris Climate Agreement.
15209,"#America is back ! 🇺🇸🇫🇷
 Quel bonheur de voir @JoeBiden et @KamalaHarris reprendre les rênes puis de découvrir les 17 premiers décrets qui entreront en application !
#AccordDeParis ♻️✅
#Paris #ParisClimateAgreement 

https://t.co/1bPIAjKQF1"
15210,"This is a noble decision for our World.
Great minds set pace in great decisions.

Biden inauguration: U.S. rejoins Paris climate agreement https://t.co/bVtfuzkUQr"
15211,DOES THIS MAN THINK THE PARIS CLIMATE AGREEMENT IS ONLY FOR PARIS?!?!? https://t.co/DxkCYw51Qb
15212,"@SenTedCruz So why do other countries have better health care and education plus lower poverty rates, while still adhering to the Paris Climate Agreement?🤔"
15213,Welcome back #USA 💚💚💚 #ParisClimateAgreement https://t.co/PfA1pDy6Ms
15214,"@tedcruz is such a dunce. It's called Paris Climate Agreement cuz that's where world leaders met, talked about and signed agreements on what needs to be done to keep the planet comfortably habitable. It has nothing to do with the citizens of Paris! https://t.co/Hjwvwb2Yvb"
15215,@SenTedCruz Wait till he finds out about the Treaty of Versailles or The Paris Peace Treaties 😳 mf rlly thinks the Paris Climate Agreement solely benefits France
15216,@jaketapper Who’s going to break it to him that the Paris Climate Agreement doesn’t only address the climate concerns of the people of Paris.
15217,@SenTedCruz The people of Pittsburgh want to be part of the Paris Climate Agreement.
15218,"Back in the Paris Climate Agreement - YAAAAAASSSSSSS. Thank God! 😀 🙌🏼 ...We still need to go further. But it's something. 🌏 🌎  🌍 Thank you, Joe."
15219,"@SenTedCruz What bullshit, also that is a damn silly way to admit that you have no idea of what the Paris Climate Agreement is about."
15220,@joshtpm @LauriDonahue Ted think the Paris Climate Agreement was based on this song https://t.co/cAJj0TmrQC
15221,@SenTedCruz What if the Paris Climate Agreement insulted your wife? Would you support it then?
15222,Thank you @POTUS @JoeBiden for rejoining the Paris Climate Agreement. This is so important for our planet 🌎
15223,@SenTedCruz Are you seriously that ignorant? The citizens of Paris have nothing to do with the Paris climate agreement....
15224,"And, breathe... After four years of Dallas-like dream...""President Biden returns the US to the Paris climate agreement""  https://t.co/mguSaknAc7"
15225,President Biden returns the US to the Paris climate agreement  https://t.co/xW2q8SLZKf
15226,like he really thinks the paris climate agreement only benefits PARIS?
15227,"@Alex39019131 @Coach_Bob65 @Musicfanboi4 @VP He withdrew from the Paris Climate agreement  during a Global Warming crisis in which if the world isn't carbon neutral by 2030, there will be irreversible global warming leading to death and displacement of hundreds of millions of people."
15228,"#ParisClimateAgreement 
🌍Best way to start the Day One🌍 https://t.co/f8HP7J9uds"
15229,👁👄👁 the Paris Climate Agreement is about climate change https://t.co/VIJj3xZEKx
15230,"""Paris Climate Agreement""... aka ""the views of the citizens of Paris""... you really can't make this stuff up https://t.co/dkJHFCh7jS"
15231,"How is someone that tries to inform his followers that the Paris climate agreement is only for citizens of Paris, and not an agreement by almost 200 countries, in office? https://t.co/Nnsieg7Ier"
15232,Oh my god how stupid hahahahha paris climate agreement favor the Parisians? Heheheheh comedy gold https://t.co/TXkVjBuhRd
15233,"@bretterlich My favorite thing today is when Cruz shared with the nation that he thinks the ""Paris Climate Agreement"" was named that because it was created by the citizens of Paris. https://t.co/mkTwGV53Co"
15234,"@AOC His comment about Paris was strange. But yes right, the Paris Climate agreement is not good for  the US. we shoukd focus on making sure our environment is healthy without interference from other nations and their ideals. We can do this without them."
15235,@SenTedCruz Are you serious? Do you not know what the Paris Climate Agreement is or represents? Please learn to comprehend what you read before making baseless comments. You continue to spread deceit.
15236,"Yeah Bernie, I also just can't believe this guy doesn't know what the Paris Agreement is but just objecting it cos he believed in lies being sold to him. How damning is this? #ParisClimateAgreement #TedCruz #berniemittens https://t.co/6mjeQR5ZEz https://t.co/jigr0QbdKH"
15237,"@tedcruz @Sethrogen Ted. Rafael. Zodiac. Please do not tell me that in just one day you, a government official, have not only falsely asserted that the Paris Climate Agreement was signed with the city of Paris, but now also seem unaware that the Screen Actors Guild IS a union, you absolute toadstool"
15238,"I thought this was a joke, but Ted Cruz said it. Because the Paris climate agreement is all about Paris. How is he in office? 😂😂😂 https://t.co/EwNdWbgvYl"
15239,"@SenTedCruz This is absolutely NOT true and you are playing with words to try and confuse. As you know, the Paris Climate Agreement is not about “citizens of Paris”, it’s about all the world’s citizens. It’s about tornados and hurricanes, droughts, fires and floods—it’s about survival of ALL"
15240,Holy SHIT. No wonder he wanted to rejoin the Paris Climate Agreement so quickly. He knew his people were setting up a fucking SKY FIRE to celebrate and wanted help dealing with what came after. 😁 https://t.co/ddBGt7pwuj
15241,@SenTedCruz This is about the dumbest comment on the Paris Climate Agreement I‘ve ever read. Ever.
15242,@SenTedCruz The Paris Climate Agreement is only called that because Paris is where the deal took place. It has nothing to do with the citizens of Paris. You would know this if you were an actual competent senator.
15243,"🇩🇪 Good morning, the new American President, Joe Biden, is ordering a return of the United States to the Paris Climate Agreement and the WHO shortly after taking office. In total, he signs 17 decrees.  #germany #mostliked https://t.co/W3CRUuFEKD"
